College_ID,Academic Program Name,Quota,Special Quota,Seat Type,Gender,Round,Opening Rank,Closing Rank
1,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,21,21
1,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,11P,11P
2,"Civil Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,2P,2P
2,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,2,2
3,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,9,9
4,"Civil Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,19P,19P
4,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,3,3
4,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,6,6
5,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,7,7
5,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,19,19
5,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,14,14
5,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,,EWS (PwD),Gender-Neutral,1,13P,13P
6,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,4,4
6,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,5P,5P
6,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,,EWS (PwD),Gender-Neutral,1,17,17
7,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,20,20
8,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,14P,14P
9,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,25,25
10,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,26,26
11,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,,EWS (PwD),Gender-Neutral,1,18,18
