score,air_median,n
113,1314389,20
114,1306229,9
115,1298937,33
116,1291191,22
117,1283717,20
118,1276843,25
119,1269197,24
120,1261811,31
121,1253035,31
122,1245691,25
123,1238934,20
124,1234318,17
125,1227067,27
126,1216165,20
127,1210836,28
128,1202770,16
129,1196767,11
130,1189925,26
131,1182801,18
132,1175121,11
133,1169392,16
134,1163748,21
135,1155126,35
136,1148145,18
137,1143107,21
138,1135722,20
139,1129778,18
140,1121350,36
141,1114162,11
142,1109452,27
143,1105104,21
144,1096606,22
145,1089231,42
146,1082417,32
147,1078879,36
148,1072685,32
149,1066397,38
150,1059583,48
151,1053343,34
152,1048349,24
153,1043343,35
154,1036336,25
155,1030844,35
156,1023755,37
157,1018721,43
158,1013072,33
159,1007438,37
160,1001182,47
161,994691,39
162,990868,30
163,985218,30
164,979016,51
165,974231,40
166,966675,26
167,962894,22
168,957630,37
169,951681,36
170,946833,47
171,940923,45
172,935913,40
173,931271,43
174,925710,33
175,919907,28
176,915257,42
177,910784,37
178,905558,25
179,900239,37
180,895536,39
181,890056,48
182,885992,38
183,880572,45
184,875937,35
185,869877,61
186,865422,52
187,860094,34
188,855937,40
189,851017,46
190,846362,46
191,840620,46
192,836646,51
193,831947,35
194,828123,40
195,822348,41
196,817356,38
197,814587,39
198,809173,42
199,804447,42
200,799556,53
201,795907,65
202,791495,52
203,786853,51
204,782283,51
205,777866,53
206,772777,56
207,769296,50
208,764845,46
209,760623,48
210,756335,49
211,751651,47
212,747451,58
213,743817,60
214,739867,54
215,734732,63
216,730790,53
217,726927,59
218,722839,52
219,718886,70
220,715010,58
221,711033,66
222,707669,55
223,702962,59
224,698353,51
225,694226,80
226,690449,59
227,686388,67
228,682779,60
229,678694,76
230,674072,68
231,670560,56
232,667380,64
233,663479,60
234,659564,71
235,655135,67
236,651521,48
237,648243,72
238,644526,76
239,640717,59
240,636673,61
241,633158,63
242,629447,60
243,625802,77
244,622635,52
245,618844,67
246,615441,43
247,611582,67
248,608190,66
249,605039,76
250,600905,64
251,597521,73
252,594354,64
253,590353,87
254,587188,67
255,583534,86
256,579762,60
257,577027,50
258,573384,60
259,569974,71
260,566113,75
261,562779,78
262,559581,74
263,556503,77
264,553422,77
265,549679,59
266,546201,60
267,543281,70
268,540072,78
269,537162,60
270,533321,87
271,529993,78
272,527099,83
273,523899,75
274,520651,74
275,517326,90
276,513991,69
277,510892,75
278,508284,66
279,505114,80
280,501557,97
281,498616,91
282,495512,76
283,492725,87
284,489815,77
285,486549,75
286,483468,73
287,480609,89
288,477605,76
289,474950,75
290,471646,112
291,468607,84
292,465518,81
293,462984,97
294,459916,107
295,456863,102
296,453887,95
297,451186,94
298,448388,84
299,445633,110
300,442716,108
301,439685,99
302,437094,113
303,434182,111
304,431551,85
305,428515,100
306,425586,86
307,423201,99
308,420443,90
309,417857,105
310,414828,95
311,412209,110
312,409511,125
313,407017,114
314,404589,110
315,401885,111
316,398957,108
317,396439,111
318,393992,106
319,391499,108
320,388678,125
321,386359,104
322,383599,111
323,380932,114
324,378452,126
325,375778,119
326,373142,125
327,370840,106
328,368252,118
329,365904,115
330,363259,94
331,360881,122
332,358363,104
333,355893,110
334,353644,105
335,350837,114
336,348568,121
337,346217,103
338,343967,129
339,341522,107
340,338928,138
341,336611,131
342,334026,116
343,331828,120
344,329625,131
345,326887,156
346,324586,120
347,322451,100
348,320124,112
349,317713,126
350,315323,136
351,313104,126
352,310741,105
353,308698,124
354,306300,126
355,304116,137
356,301683,129
357,299497,127
358,297490,109
359,295399,134
360,292945,111
361,290498,115
362,288447,119
363,286256,140
364,284206,127
365,282048,124
366,279875,100
367,277776,147
368,275482,122
369,273426,115
370,271186,120
371,268925,158
372,266725,126
373,264765,135
374,262667,132
375,260409,138
376,258238,111
377,256133,110
378,254073,128
379,252039,110
380,249925,152
381,247614,135
382,245868,133
383,243746,129
384,241685,124
385,239487,122
386,237461,120
387,235341,119
388,233433,106
389,231569,130
390,229338,97
391,227482,114
392,225565,135
393,223665,126
394,221631,115
395,219601,113
396,217678,96
397,215555,116
398,213895,109
399,211852,127
400,209683,125
401,207681,130
402,205903,121
403,204004,108
404,202142,120
405,200227,119
406,198162,110
407,196439,116
408,194534,98
409,192717,104
410,190656,120
411,188900,109
412,186994,98
413,185219,114
414,183451,98
415,181584,87
416,179655,103
417,177974,100
418,176176,108
419,174270,97
420,172332,91
421,170560,99
422,168758,112
423,166892,107
424,165392,102
425,163310,110
426,161708,101
427,159889,101
428,158213,101
429,156569,83
430,154794,107
431,152837,80
432,151144,102
433,149737,90
434,147916,92
435,146236,98
436,144338,97
437,142702,84
438,141048,85
439,139396,98
440,137654,106
441,135916,94
442,134183,78
443,132819,83
444,131193,82
445,129642,76
446,128097,89
447,126321,99
448,124888,93
449,123116,86
450,121395,83
451,120094,79
452,118276,80
453,116676,84
454,115144,75
455,113690,91
456,112100,83
457,110369,70
458,108932,80
459,107435,82
460,105869,73
461,104215,83
462,103064,89
463,101536,69
464,99882,76
465,98283,83
466,96795,66
467,95489,73
468,94230,56
469,92689,71
470,91168,74
471,89624,78
472,88182,76
473,86960,75
474,85327,60
475,84239,72
476,82553,62
477,81164,58
478,79785,72
479,78448,57
480,77087,68
481,75447,56
482,74373,49
483,73000,67
484,71850,62
485,70264,67
486,68890,63
487,67688,65
488,66413,63
489,65105,53
490,63928,63
491,62614,49
492,61450,63
493,59952,58
494,59211,51
495,57651,54
496,56516,51
497,55509,52
498,54248,53
499,53089,56
500,52002,40
501,51086,52
502,49821,61
503,48598,51
504,47488,46
505,46415,54
506,45306,73
507,44379,46
508,43259,51
509,42175,46
510,41197,54
511,40023,50
512,39113,51
513,38119,36
514,37249,52
515,36428,45
516,35363,28
517,34557,45
518,33796,30
519,32925,27
520,31900,36
521,30872,38
522,30154,30
523,29203,39
524,28588,30
525,27864,34
526,26835,41
527,25941,29
528,25286,23
529,24724,34
530,23888,41
531,23086,38
532,22583,25
533,21621,23
534,21103,30
535,20235,37
536,19781,23
537,19165,19
538,18397,21
539,17884,18
540,17319,20
541,16643,24
542,16024,19
543,15484,19
544,15007,22
545,14549,17
546,14005,20
547,13733,17
548,13102,15
549,12597,25
550,12155,25
551,11865,17
552,11348,14
553,10948,15
554,10503,16
555,10146,13
556,9707,14
557,9481,13
558,9060,10
559,8619,11
560,8327,12
561,7926,14
562,7640,14
563,7327,10
564,7034,13
565,6605,8
566,6472,6
567,6124,7
568,5865,5
569,5609,8
570,5386,6
571,5129,9
572,4979,10
573,4826,4
574,4562,9
575,4331,9
576,4184,6
577,3961,4
578,3892,2
579,3691,5
580,3565,3
581,3353,3
582,3188,8
583,3066,2
584,2919,8
585,2773,3
586,2682,6
587,2547,2
588,2445,3
589,2363,4
590,2195,4
591,2124,5
592,1991,4
593,1898,5
594,1821,3
595,1697,4
596,1651,2
597,1583,1
598,1512,1
599,1467,2
600,1362,1
601,1262,3
602,1198,1
603,1182,1
605,1045,2
607,943,1
609,879,1
612,728,1
613,683,2
619,502,1
621,433,1
622,401,1
625,336,1
626,307,1
633,192,1
638,144,1
